Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes,Api_No,Category
GraphQL_Game_amiiboapi1,1,1852,1852,1852,0,0.00%,0.53996,6.78,0.08,12857,231,Game
GraphQL_Game_amiiboapi2,1,521,521,521,0,0.00%,1.91939,113.64,0.3,60627,232,Game
GraphQL_Game_amiiboapi3,1,257,257,257,0,0.00%,3.89105,29.25,0.52,7698,233,Game
GraphQL_Game_cheapshark1,1,455,455,455,0,0.00%,2.1978,28.66,0.32,13353,234,Game
GraphQL_Game_cheapshark2,1,212,212,212,0,0.00%,4.71698,168.91,0.74,36668,235,Game
GraphQL_Game_cheapshark3,1,192,192,192,0,0.00%,5.20833,11.13,0.73,2188,236,Game
GraphQL_Game_crafatar1,1,357,357,357,0,0.00%,2.80112,2.5,0.52,915,237,Game
GraphQL_Game_digimoncard,1,564,564,564,0,0.00%,1.77305,2.59,0.59,1496,238,Game
GraphQL_Game_digimon-api1,1,307,307,307,0,0.00%,3.25733,66.41,0.44,20877,239,Game
GraphQL_Game_digimon-api2,1,149,149,149,0,0.00%,6.71141,23.14,0.99,3531,240,Game
GraphQL_Music_a10.gaanacdn,1,256,256,256,0,0.00%,3.90625,685.96,0.65,179820,241,Music
GraphQL_Music_binaryjazz.us,1,613,613,613,0,0.00%,1.63132,2.04,0.23,1280,242,Music
GraphQL_Music_jiosaavn,1,1852,1852,1852,0,0.00%,0.53996,43.22,0.08,81959,243,Music
GraphQL_Music_api.lyrics.ovh1,1,794,794,794,0,0.00%,1.25945,1.96,0.2,1590,244,Music
GraphQL_Music_api.lyrics.ovh2,1,217,217,217,0,0.00%,4.60829,8.51,0.66,1892,245,Music
GraphQL_Music_s3.amazonaws1,1,256,256,256,0,0.00%,3.90625,65.65,0.57,17211,246,Music
GraphQL_Music_api.lyrics.ovh3,1,253,253,253,0,0.00%,3.95257,4.36,0.58,1129,247,Music
GraphQL_Music_api.lyrics.ovh4,1,307,307,307,0,0.00%,3.25733,7.29,0.47,2293,248,Music
