Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GraphQL_business_SpaceX_4,100,245,177,406,57.18,0.00%,2.69767,6.5,1.11,2466
GraphQL_business_SpaceX_5,100,227,178,325,36.02,0.00%,2.70783,1.2,1.93,455
GraphQL_business_SpaceX_6,100,233,177,546,65.17,0.00%,2.69957,1.94,1.4,736
GraphQL_business_SpaceX_7,100,307,202,502,61.62,0.00%,2.69433,41.66,1.26,15834
GraphQL_business_SpaceX_8,100,228,175,390,47.06,0.00%,2.70475,1.33,1.32,505
GraphQL_business_SpaceX_9,100,233,180,398,48.38,0.00%,2.70512,5.09,1.78,1925
GraphQL_business_SpaceX_10,100,230,182,457,47.29,0.00%,2.70102,19.96,1.25,7569
GraphQL_calendar_1,100,854,148,7942,1271.33,0.00%,2.2421,266.46,0.35,121694.9
GraphQL_calendar_2,100,1949,92,9333,1864.22,0.00%,2.14758,551.16,0.36,262803.1
GraphQL_calendar_3,100,2524,91,31506,3606.71,0.00%,1.3547,347.67,0.23,262800.4
GraphQL_calendar_4,100,2424,86,31585,4082.2,0.00%,1.35053,346.6,0.23,262802.4
GraphQL_calendar_5,100,927,66,5185,996.08,0.00%,1.34993,98.85,0.18,74986.8
GraphQL_calendar_6,100,1897,89,6773,1536.3,0.00%,1.34205,347.89,0.18,265441
GraphQL_calendar_7,100,2034,86,6971,1702.77,0.00%,1.33752,346.71,0.18,265439.7
GraphQL_calendar_8,100,1695,80,5770,1434.73,0.00%,1.33722,346.63,0.18,265438.8
GraphQL_calendar_9,100,1655,84,6145,1465.03,0.00%,1.33412,345.83,0.18,265442
GraphQL_calendar_10,100,1318,87,5130,1151.48,0.00%,1.33422,345.86,0.18,265444.4
GraphQL_develop_github_1,100,933,276,7344,1289.07,0.00%,1.31318,8.63,0.54,6728.5
GraphQL_develop_github_2,100,331,126,3095,421.76,0.00%,1.31895,17.71,0.5,13748.5
GraphQL_develop_github_3,100,280,135,1792,301.91,0.00%,1.31905,20.37,0.61,15814.5
GraphQL_develop_github_4,100,762,309,3067,599.2,0.00%,1.31532,257.73,0.87,200643.5
GraphQL_develop_github_5,100,285,128,999,281.71,0.00%,1.32216,17.75,0.49,13748.5
GraphQL_develop_github_6,100,150,105,943,118.49,0.00%,1.32258,5.94,0.73,4601.5
GraphQL_develop_github_7,100,164,104,1433,182.89,0.00%,1.32022,4.38,0.55,3394.5
GraphQL_develop_github_8,100,135,105,640,66.73,0.00%,1.32032,4.37,0.54,3385.5
GraphQL_develop_github_9,100,168,110,988,126.71,0.00%,1.32025,8.68,0.54,6728.5
GraphQL_develop_github_10,100,201,108,928,189.99,0.00%,1.31712,10.57,0.54,8215.5
GraphQL_develop_github_11,100,134,105,834,82.16,0.00%,1.31015,4.92,0.68,3848.5
GraphQL_develop_github_12,100,165,106,931,163.95,0.00%,1.31022,4.92,0.69,3848.5
GraphQL_develop_github_13,100,130,103,797,68.83,0.00%,1.31015,4.92,0.69,3848.5
